country,director,genre,title,year
" ,ЮАР, ,США",,"боевик,драматический фильм,Музыка к фильму",24 часа: Искупление,
" ,США, ,Германия",,триллер,24 часа,2002
" ,США",,комедия,24 часа из жизни женщины,1999
" ,Россия",,"боевик,драма",24 часа,2000
" ,Германия",,драматический фильм,24 недели,
" ,США",,Фильм ужасов,31,2016
" ,СССР",,"детективный фильм,, ,драма",24-25 не возвращается,1968
" ,Россия",,боевик,22 минуты,2014
" ,Иран, ,Франция",,драматический фильм,24 кадра,
" ,Германия",,"триллер, / ,драма","23 - Всё не то, чем кажется",1998
" ,США",,Драма,22 июля,2018
" ,США",,"боевик,, ,триллер",22 мили,2018
" ,Франция",,"триллер,, ,детектив",22 пули: Бессмертный,2010
" ,США",,комедия,21 и больше,2013
" ,США",,"драма,триллер,детектив",21 мост,2019
" ,Россия",,"драма,комедия",20 сигарет,2007
" ,США",,Драма,21 грамм,2003
" ,США",,"научно-фантастический фильм,фильм о монстрах,фильм-катастрофа,приключенческий фильм,фэнтезийный фильм,фильм ужасов",20 миллионов миль до Земли,
" ,Испания",,"драматический фильм,ЛГБТ-фильм,[d]",20 тысяч разновидностей пчёл,
" ,Франция",,комедия,21 ночь с Патти,2015
" ,Украина",,"документальный фильм,военный фильм",20 дней в Мариуполе,2023
" ,США",,фантастика,20 000 лье под водой,1916
" ,США",,"криминальный фильм,драма,триллер",20 000 лье под водой,1997
" ,СССР",,исторический фильм,20-е декабря,1981
" ,США",,"Криминальная мелодрама,Тюремная драма",20 000 лет в Синг-Синге,1932
США,,комедия,18-летняя девственница,2008
" ,Республика Корея",,"боевик,драма,военный,история",18 мая,2007
" ,Россия",,"исторический, ,детектив,приключение",18-14,2007
" ,Испания, ,Франция",,"комедия,мюзикл",20 сантиметров,2005
" ,Великобритания",,"документальный,музыкальный",20 000 дней на Земле,2014
Казахстан,,драма,18 килогерц,2021
" ,Гонконг, ,Китайская Республика",,"боевик,драма",18 бронзовых бойцов,
" ,США",,"драма,, ,стимпанк,, ,приключенческий фильм",20 000 лье под водой,1954
" ,Франция",,драма,17 девушек,2011
" ,США",,"криминальный фильм,драма,триллер",«16 кварталов»,2006
" ,США",,"Криминальная драма,боевик",15 минут славы,2001
" ,США",,"подростковая, ,фэнтезийная комедия",16 желаний,
" ,Россия",,мелодрама,14+: Продолжение,2023
" ,Россия",,мелодрама,14+,2015
" ,США",,ужасы,13-я жертва,2008
" ,Чехословакия",,"криминальный фильм,драма,, ,экранизация",13-й участок,1946
" ,Гонконг",,"приключенческий фильм,драма,военный фильм",14 амазонок,1972
" ,Гонконг, ,Китай",,"боевик,триллер",14 клинков,2010
" ,Франция",,комедия,15 августа,
" ,Франция",,боевик,13-й район: Ультиматум,2009
" ,Франция",,"антиутопия,, ,боевик",13-й район,2004
" ,Великобритания",,Ужасы,13-й знак,2000
" ,СССР",,фантастический фильм,Тринадцатый апостол,1988
" ,Франция, ,Канада",,боевик,13-й район: Кирпичные особняки,2014
" ,США",,"военный,драма,триллер",13 часов: Тайные солдаты Бенгази,2016
" ,Нацистская Германия",,Комедия,13 стульев,1938
,,фильм ужасов,13 изгнаний дьявола,2022
